NoiseType,MMSE,SignalPower
white,0.0,0.5330000000000001
pink,0.0,0.46900000000000003
brown,0.0,0.54
multi_tone,0.3,0.07600000000000001
impulse_spikes,0.1,0.386
white,0.0,0.5100000000000001
pink,0.1,0.40700000000000003
brown,0.3,0.025
multi_tone,0.2,0.293
impulse_spikes,0.2,0.353
white,0.0,0.454
pink,0.0,0.46900000000000003
brown,0.1,0.4590000000000001
multi_tone,0.0,0.45500000000000007
impulse_spikes,0.1,0.40099999999999997
white,0.0,0.458
pink,0.0,0.49700000000000005
brown,0.4,0.03800000000000001
multi_tone,0.0,0.4660000000000001
impulse_spikes,0.0,0.4670000000000001
white,0.0,0.48200000000000004
pink,0.0,0.484
brown,0.3,0.03900000000000001
multi_tone,0.0,0.5130000000000001
impulse_spikes,0.0,0.4680000000000001
white,0.0,0.514
pink,0.0,0.466
brown,0.0,0.55
multi_tone,0.0,0.4780000000000001
impulse_spikes,0.1,0.4170000000000001
white,0.0,0.511
pink,0.1,0.453
brown,0.0,0.4920000000000001
multi_tone,0.0,0.518
impulse_spikes,0.1,0.4130000000000001
white,0.0,0.47700000000000004
pink,0.1,0.43600000000000005
brown,0.0,0.54
multi_tone,0.0,0.47800000000000004
impulse_spikes,0.0,0.499
white,0.0,0.49300000000000016
pink,0.0,0.4680000000000001
brown,0.0,0.4630000000000001
multi_tone,0.0,0.519
impulse_spikes,0.0,0.466
white,0.0,0.46799999999999997
pink,0.0,0.505
brown,0.0,0.502
multi_tone,0.0,0.4940000000000001
impulse_spikes,0.1,0.373
white,0.0,0.5070000000000001
pink,0.1,0.394
brown,0.0,0.526
multi_tone,0.1,0.356
impulse_spikes,0.1,0.41500000000000004
white,0.0,0.476
pink,0.0,0.485
brown,0.1,0.31
multi_tone,0.0,0.502
impulse_spikes,0.1,0.41100000000000003
white,0.0,0.4600000000000001
pink,0.0,0.4950000000000001
brown,0.0,0.4950000000000001
multi_tone,0.0,0.48900000000000016
impulse_spikes,0.0,0.52
white,0.0,0.471
pink,0.0,0.48600000000000004
brown,0.1,0.394
multi_tone,0.1,0.41600000000000004
impulse_spikes,0.0,0.495
white,0.0,0.5150000000000001
pink,0.1,0.46900000000000003
brown,0.0,0.514
multi_tone,0.0,0.519
impulse_spikes,0.1,0.41500000000000004
white,0.0,0.47400000000000003
pink,0.0,0.511
brown,0.0,0.462
multi_tone,0.0,0.5070000000000001
impulse_spikes,0.1,0.418
white,0.0,0.4960000000000001
pink,0.0,0.519
brown,0.0,0.503
multi_tone,0.0,0.488
impulse_spikes,0.1,0.40099999999999997
white,0.0,0.487
pink,0.0,0.4700000000000001
brown,0.0,0.515
multi_tone,0.1,0.434
impulse_spikes,0.1,0.389
white,0.1,0.4620000000000001
pink,0.0,0.4670000000000001
brown,0.1,0.453
multi_tone,0.0,0.4960000000000001
impulse_spikes,0.0,0.4040000000000001
white,0.0,0.5
pink,0.0,0.483
brown,0.0,0.511
multi_tone,0.1,0.38499999999999995
impulse_spikes,0.0,0.462
white,0.0,0.425
pink,0.0,0.4900000000000001
brown,0.1,0.47000000000000003
multi_tone,0.2,0.348
impulse_spikes,0.0,0.4779999999999999
white,0.0,0.519
pink,0.0,0.4630000000000001
brown,0.0,0.51
multi_tone,0.1,0.42400000000000004
impulse_spikes,0.0,0.4710000000000001
white,0.0,0.52
pink,0.0,0.4670000000000001
brown,0.0,0.44400000000000006
multi_tone,0.0,0.4760000000000001
impulse_spikes,0.0,0.4750000000000001
white,0.0,0.5120000000000001
pink,0.0,0.506
brown,0.0,0.461
multi_tone,0.0,0.499
impulse_spikes,0.1,0.389
white,0.0,0.51
pink,0.0,0.4840000000000001
brown,0.0,0.523
multi_tone,0.1,0.46900000000000003
impulse_spikes,0.1,0.39599999999999996
white,0.0,0.492
pink,0.0,0.449
brown,0.4,0.015000000000000003
multi_tone,0.1,0.43499999999999994
impulse_spikes,0.0,0.45200000000000007
white,0.0,0.4990000000000001
pink,0.0,0.48600000000000004
brown,0.1,0.4720000000000001
multi_tone,0.2,0.333
impulse_spikes,0.0,0.466
white,0.0,0.4880000000000001
pink,0.0,0.519
brown,0.2,0.09
multi_tone,0.0,0.515
impulse_spikes,0.0,0.521
white,0.0,0.51
pink,0.0,0.4900000000000001
brown,0.0,0.518
multi_tone,0.0,0.5120000000000001
impulse_spikes,0.1,0.4050000000000001
white,0.0,0.49800000000000005
pink,0.0,0.479
brown,0.0,0.5170000000000001
multi_tone,0.0,0.49000000000000005
impulse_spikes,0.0,0.441
white,0.0,0.5240000000000001
pink,0.1,0.42700000000000005
brown,0.0,0.47800000000000004
multi_tone,0.0,0.511
impulse_spikes,0.0,0.4840000000000001
white,0.0,0.4680000000000001
pink,0.0,0.4700000000000001
brown,0.0,0.4640000000000001
multi_tone,0.2,0.29899999999999993
impulse_spikes,0.1,0.372
white,0.0,0.5190000000000001
pink,0.1,0.434
brown,0.0,0.512
multi_tone,0.0,0.499
impulse_spikes,0.0,0.49300000000000005
white,0.0,0.523
pink,0.0,0.4950000000000001
brown,0.0,0.4920000000000001
multi_tone,0.0,0.5040000000000001
impulse_spikes,0.1,0.43200000000000005
white,0.0,0.504
pink,0.1,0.43599999999999994
brown,0.0,0.496
multi_tone,0.1,0.376
impulse_spikes,0.1,0.39699999999999996
white,0.0,0.48500000000000004
pink,0.0,0.506
brown,0.0,0.48600000000000004
multi_tone,0.1,0.4149999999999999
impulse_spikes,0.0,0.499
white,0.0,0.46099999999999997
pink,0.1,0.418
brown,0.1,0.27799999999999997
multi_tone,0.0,0.515
impulse_spikes,0.2,0.366
white,0.1,0.4590000000000001
pink,0.0,0.48900000000000005
brown,0.0,0.462
multi_tone,0.2,0.308
impulse_spikes,0.1,0.417
white,0.0,0.47800000000000004
pink,0.0,0.48100000000000004
brown,0.0,0.4800000000000001
multi_tone,0.3,0.22000000000000003
impulse_spikes,0.0,0.48200000000000004
white,0.0,0.46399999999999997
pink,0.0,0.46699999999999997
brown,0.0,0.5050000000000001
multi_tone,0.2,0.11800000000000002
impulse_spikes,0.1,0.41100000000000003
white,0.0,0.5200000000000001
pink,0.0,0.4720000000000001
brown,0.2,0.16699999999999998
multi_tone,0.0,0.518
impulse_spikes,0.0,0.457
white,0.1,0.453
pink,0.1,0.4630000000000001
brown,0.0,0.46299999999999997
multi_tone,0.2,0.286
impulse_spikes,0.1,0.389
white,0.0,0.518
pink,0.0,0.49700000000000005
brown,0.0,0.5060000000000001
multi_tone,0.1,0.46299999999999997
impulse_spikes,0.0,0.495
white,0.0,0.508
pink,0.0,0.5130000000000001
brown,0.0,0.461
multi_tone,0.1,0.44800000000000006
impulse_spikes,0.0,0.48200000000000004
white,0.1,0.438
pink,0.0,0.527
brown,0.0,0.4520000000000001
multi_tone,0.0,0.4830000000000001
impulse_spikes,0.0,0.48600000000000004
white,0.0,0.512
pink,0.0,0.5070000000000001
brown,0.0,0.521
multi_tone,0.0,0.508
impulse_spikes,0.0,0.49000000000000005
white,0.1,0.437
pink,0.0,0.511
brown,0.2,0.157
multi_tone,0.1,0.398
impulse_spikes,0.1,0.43800000000000006
white,0.0,0.4790000000000001
pink,0.0,0.491
brown,0.0,0.458
multi_tone,0.1,0.42400000000000004
impulse_spikes,0.0,0.476
white,0.0,0.521
pink,0.1,0.446
brown,0.0,0.47400000000000003
multi_tone,0.2,0.324
impulse_spikes,0.0,0.4790000000000001
white,0.0,0.46900000000000003
pink,0.1,0.46099999999999997
brown,0.0,0.49700000000000005
multi_tone,0.0,0.519
impulse_spikes,0.0,0.45099999999999996
white,0.1,0.45100000000000007
pink,0.1,0.39
brown,0.0,0.41899999999999993
multi_tone,0.3,0.22400000000000003
impulse_spikes,0.0,0.479
white,0.0,0.4780000000000001
pink,0.1,0.43599999999999994
brown,0.3,0.13399999999999998
multi_tone,0.0,0.502
impulse_spikes,0.0,0.46500000000000014
white,0.0,0.48900000000000005
pink,0.0,0.445
brown,0.0,0.5050000000000001
multi_tone,0.0,0.524
impulse_spikes,0.0,0.5000000000000001
white,0.0,0.492
pink,0.1,0.44000000000000006
brown,0.0,0.45899999999999996
multi_tone,0.1,0.35900000000000004
impulse_spikes,0.1,0.40499999999999997
white,0.0,0.5160000000000001
pink,0.0,0.487
brown,0.0,0.519
multi_tone,0.0,0.406
impulse_spikes,0.0,0.4840000000000001
white,0.0,0.4520000000000001
pink,0.1,0.354
brown,0.0,0.506
multi_tone,0.0,0.5170000000000001
impulse_spikes,0.0,0.4250000000000001
white,0.0,0.49700000000000005
pink,0.1,0.429
brown,0.0,0.471
multi_tone,0.0,0.4880000000000001
impulse_spikes,0.0,0.413
white,0.0,0.5000000000000001
pink,0.0,0.454
brown,0.4,0.019000000000000003
multi_tone,0.1,0.388
impulse_spikes,0.1,0.418
white,0.1,0.449
pink,0.0,0.45
brown,0.3,0.11699999999999999
multi_tone,0.0,0.41100000000000003
impulse_spikes,0.0,0.49300000000000005
white,0.0,0.47400000000000003
pink,0.0,0.44700000000000006
brown,0.0,0.5240000000000001
multi_tone,0.1,0.396
impulse_spikes,0.1,0.41200000000000003
white,0.0,0.457
pink,0.0,0.48600000000000004
brown,0.1,0.44300000000000006
multi_tone,0.3,0.21799999999999997
impulse_spikes,0.0,0.4880000000000001
white,0.0,0.508
pink,0.0,0.48100000000000004
brown,0.0,0.49300000000000005
multi_tone,0.0,0.4920000000000001
impulse_spikes,0.0,0.4950000000000001
white,0.0,0.4790000000000001
pink,0.0,0.4960000000000001
brown,0.0,0.535
multi_tone,0.0,0.47400000000000003
impulse_spikes,0.0,0.462
white,0.1,0.441
pink,0.1,0.458
brown,0.0,0.519
multi_tone,0.0,0.49800000000000005
impulse_spikes,0.2,0.34299999999999997
white,0.0,0.4950000000000001
pink,0.0,0.461
brown,0.0,0.527
multi_tone,0.0,0.4710000000000001
impulse_spikes,0.0,0.49300000000000005
white,0.0,0.4920000000000001
pink,0.0,0.469
brown,0.0,0.392
multi_tone,0.0,0.539
impulse_spikes,0.1,0.395
white,0.0,0.48100000000000015
pink,0.1,0.426
brown,0.1,0.382
multi_tone,0.1,0.4490000000000001
impulse_spikes,0.0,0.4940000000000001
white,0.0,0.501
pink,0.0,0.51
brown,0.0,0.457
multi_tone,0.0,0.47300000000000014
impulse_spikes,0.0,0.5010000000000001
white,0.0,0.453
pink,0.0,0.4800000000000001
brown,0.0,0.473
multi_tone,0.0,0.4630000000000001
impulse_spikes,0.0,0.485
white,0.0,0.493
pink,0.0,0.45600000000000007
brown,0.0,0.5040000000000001
multi_tone,0.0,0.518
impulse_spikes,0.0,0.413
white,0.0,0.502
pink,0.0,0.503
brown,0.0,0.47000000000000003
multi_tone,0.0,0.499
impulse_spikes,0.1,0.35500000000000004
white,0.0,0.48500000000000004
pink,0.1,0.41800000000000004
brown,0.0,0.48900000000000005
multi_tone,0.0,0.4990000000000001
impulse_spikes,0.0,0.48600000000000004
white,0.1,0.4630000000000001
pink,0.0,0.46900000000000003
brown,0.0,0.518
multi_tone,0.0,0.519
impulse_spikes,0.0,0.40700000000000003
white,0.0,0.513
pink,0.0,0.4960000000000001
brown,0.0,0.46500000000000014
multi_tone,0.0,0.508
impulse_spikes,0.0,0.4720000000000001
white,0.1,0.42400000000000004
pink,0.0,0.5080000000000001
brown,0.0,0.4760000000000001
multi_tone,0.0,0.5010000000000001
impulse_spikes,0.0,0.4920000000000001
white,0.0,0.508
pink,0.0,0.502
brown,0.0,0.522
multi_tone,0.0,0.4910000000000001
impulse_spikes,0.1,0.41500000000000004
white,0.0,0.44800000000000006
pink,0.0,0.437
brown,0.0,0.4960000000000001
multi_tone,0.0,0.44800000000000006
impulse_spikes,0.1,0.445
white,0.0,0.519
pink,0.0,0.5070000000000001
brown,0.0,0.5170000000000001
multi_tone,0.0,0.508
impulse_spikes,0.0,0.4920000000000001
white,0.0,0.5
pink,0.0,0.466
brown,0.0,0.5010000000000001
multi_tone,0.1,0.4640000000000001
impulse_spikes,0.0,0.475
white,0.0,0.48900000000000016
pink,0.0,0.46900000000000003
brown,0.0,0.48600000000000004
multi_tone,0.0,0.487
impulse_spikes,0.1,0.43499999999999994
white,0.1,0.433
pink,0.1,0.454
brown,0.0,0.5090000000000001
multi_tone,0.1,0.41600000000000004
impulse_spikes,0.1,0.4
white,0.0,0.519
pink,0.0,0.4720000000000001
brown,0.1,0.39
multi_tone,0.0,0.515
impulse_spikes,0.0,0.48200000000000004
white,0.0,0.47800000000000004
pink,0.0,0.4710000000000001
brown,0.0,0.5070000000000001
multi_tone,0.1,0.372
impulse_spikes,0.1,0.458
white,0.1,0.429
pink,0.1,0.469
brown,0.0,0.45600000000000007
multi_tone,0.0,0.49400000000000005
impulse_spikes,0.0,0.48900000000000005
white,0.0,0.475
pink,0.0,0.51
brown,0.0,0.518
multi_tone,0.0,0.37
impulse_spikes,0.0,0.47300000000000003
white,0.0,0.5050000000000001
pink,0.0,0.4720000000000001
brown,0.0,0.499
multi_tone,0.0,0.499
impulse_spikes,0.1,0.43200000000000005
white,0.0,0.515
pink,0.0,0.5109999999999999
brown,0.0,0.5010000000000001
multi_tone,0.1,0.42000000000000004
impulse_spikes,0.0,0.4790000000000001
white,0.1,0.378
pink,0.0,0.4830000000000001
brown,0.0,0.479
multi_tone,0.0,0.507
impulse_spikes,0.0,0.4880000000000001
white,0.0,0.49800000000000005
pink,0.0,0.4590000000000001
brown,0.0,0.5090000000000001
multi_tone,0.0,0.503
impulse_spikes,0.0,0.503
white,0.0,0.499
pink,0.0,0.4870000000000001
brown,0.0,0.501
multi_tone,0.0,0.519
impulse_spikes,0.0,0.45999999999999996
white,0.0,0.514
pink,0.0,0.4880000000000001
brown,0.1,0.359
multi_tone,0.1,0.40099999999999997
impulse_spikes,0.0,0.457
white,0.0,0.49300000000000005
pink,0.0,0.5010000000000001
brown,0.0,0.517
multi_tone,0.1,0.27999999999999997
impulse_spikes,0.1,0.389
white,0.0,0.49800000000000005
pink,0.0,0.506
brown,0.0,0.28900000000000003
multi_tone,0.0,0.519
impulse_spikes,0.0,0.4750000000000001
white,0.0,0.49800000000000005
pink,0.0,0.514
brown,0.1,0.42699999999999994
multi_tone,0.2,0.35700000000000004
impulse_spikes,0.1,0.45999999999999996
white,0.0,0.45600000000000007
pink,0.0,0.496
brown,0.4,0.12200000000000003
multi_tone,0.1,0.42400000000000004
impulse_spikes,0.1,0.39799999999999996
white,0.0,0.503
pink,0.1,0.45100000000000007
brown,0.0,0.47400000000000003
multi_tone,0.0,0.507
impulse_spikes,0.0,0.4490000000000001
white,0.0,0.4700000000000001
pink,0.0,0.511
brown,0.0,0.4830000000000001
multi_tone,0.0,0.518
impulse_spikes,0.1,0.421
white,0.0,0.539
pink,0.0,0.4960000000000001
brown,0.0,0.524
multi_tone,0.0,0.41900000000000004
impulse_spikes,0.0,0.485
white,0.0,0.4600000000000001
pink,0.0,0.4720000000000001
brown,0.0,0.495
multi_tone,0.0,0.487
impulse_spikes,0.1,0.4539999999999999
white,0.1,0.43000000000000005
pink,0.0,0.48900000000000005
brown,0.2,0.342
multi_tone,0.0,0.48100000000000004
impulse_spikes,0.1,0.43100000000000005
white,0.0,0.508
pink,0.0,0.4820000000000001
brown,0.0,0.49800000000000005
